game_id,team_id_home,team_city_home,pts_paint_home,times_tied,total_turnovers_home,team_id_away,team_city_away,pts_paint_away,total_turnovers_away
21600578,1610612744,Golden State,36,5,11,1610612748,Miami,58,11
21600584,1610612746,LA,36,4,21,1610612753,Orlando,32,13
21600583,1610612764,Washington,48,7,8,1610612738,Boston,46,14
21600582,1610612750,Minnesota,56,5,18,1610612745,Houston,36,16
21600581,1610612760,Oklahoma City,46,0,16,1610612763,Memphis,52,10
21600591,1610612756,Phoenix,40,12,20,1610612742,Dallas,28,10
21600586,1610612740,New Orleans,44,12,17,1610612751,Brooklyn,54,16
21600588,1610612759,San Antonio,62,1,12,1610612747,Los Angeles,40,9
21600587,1610612752,New York,48,5,12,1610612741,Chicago,46,13
21600594,1610612748,Miami,46,2,8,1610612749,Milwaukee,48,13
21600592,1610612751,Brooklyn,34,11,12,1610612761,Toronto,56,8
21600598,1610612753,Orlando,32,5,15,1610612757,Portland,48,10
21600596,1610612760,Oklahoma City,52,9,19,1610612750,Minnesota,48,16
21600597,1610612738,Boston,28,3,12,1610612737,Atlanta,38,12
21600600,1610612762,Utah,44,4,13,1610612765,Detroit,38,13
21600595,1610612763,Memphis,56,5,22,1610612745,Houston,42,12
21600603,1610612764,Washington,54,3,11,1610612755,Philadelphia,50,16
21600605,1610612756,Phoenix,48,10,15,1610612759,San Antonio,40,16
21600602,1610612740,New Orleans,42,1,11,1610612741,Chicago,46,10
21600604,1610612753,Orlando,46,14,15,1610612762,Utah,56,13
21600601,1610612746,LA,56,1,8,1610612747,Los Angeles,36,15
21600608,1610612750,Minnesota,38,6,12,1610612742,Dallas,34,11
21600611,1610612741,Chicago,48,11,12,1610612763,Memphis,40,10
21600609,1610612745,Houston,46,2,14,1610612751,Brooklyn,40,18
21600610,1610612758,Sacramento,46,3,22,1610612760,Oklahoma City,56,19
21600607,1610612737,Atlanta,42,7,19,1610612749,Milwaukee,56,17
21600619,1610612744,Golden State,46,0,17,1610612739,Cleveland,34,15
21600618,1610612766,Charlotte,42,7,11,1610612738,Boston,34,12
21600616,1610612740,New Orleans,36,3,14,1610612754,Indiana,48,16
21600621,1610612746,LA,62,1,16,1610612760,Oklahoma City,34,15
21600617,1610612753,Orlando,60,9,14,1610612743,Denver,76,15
21600626,1610612743,Denver,68,2,17,1610612747,Los Angeles,58,12
21600625,1610612750,Minnesota,46,7,18,1610612759,San Antonio,48,7
21600622,1610612761,Toronto,58,10,10,1610612751,Brooklyn,62,13
21600629,1610612757,Portland,36,1,16,1610612766,Charlotte,38,12
21600627,1610612761,Toronto,40,12,11,1610612755,Philadelphia,40,22
21600634,1610612760,Oklahoma City,46,7,19,1610612744,Golden State,56,18
21600633,1610612765,Detroit,52,0,13,1610612737,Atlanta,38,13
21600631,1610612740,New Orleans,54,7,9,1610612753,Orlando,46,18
21600635,1610612754,Indiana,48,3,15,1610612758,Sacramento,40,21
21600632,1610612745,Houston,52,1,10,1610612749,Milwaukee,54,18
21600628,1610612763,Memphis,42,1,12,1610612764,Washington,42,12
